교과코드,교과,과목코드,과목명,특수코드,메모,여분
30,영어,3012,심화 영어1,,,
30,영어,3013,심화 영어2,,,
30,영어,3014,심화 영어 독해1,,,
30,영어,3015,심화 영어 독해2,,,
30,영어,3016,심화 영어 작문1,,,
30,영어,3017,심화 영어 작문2,,,
30,영어,3018,기초 영어,,,
30,영어,3019,영어 독해,,,
30,영어,3020,영어 작문,,,
30,영어,3021,영어 문법,,,
30,영어,3022,영어 청해,,,
30,영어,3023,실용 영어2,,,
30,영어,3024,영어 회화2,,,
30,영어,3025,아카데믹 영어,,,
30,영어,3026,영어 비평적 읽기와 쓰기,,,
30,영어,3027,응용 영문법,,,
40,사회,4001,통합사회,,,
40,사회,4002,한국지리,,,
40,사회,4003,세계지리,,,
40,사회,4004,세계사,,,
40,사회,4005,동아시아사,,,
40,사회,4006,경제,,,
40,사회,4007,정치와 법,,,
40,사회,4008,사회 문화,,,
40,사회,4009,생활과 윤리,,,
40,사회,4010,윤리와 사상,,,
40,사회,4011,여행지리,,,
40,사회,4012,사회문제 탐구,,,
40,사회,4013,고전과 윤리,,,
40,사회,4014,국제정치,,,
40,사회,4015,국제경제,,,
40,사회,4016,국제법,,,
40,사회,4017,지역이해,,,
40,사회,4018,한국사회의 이해,,,
40,사회,4019,비교 문화,,,
40,사회,4020,세계문제와 미래사회,,,
40,사회,4021,국제관계와 국제기구,,,
40,사회,4022,현대 세계의 변화,,,
40,사회,4023,사회 탐구 방법,,,
40,사회,4024,사회 과제 연구 ,,,
40,사회,4025,사회,,,
40,사회,4026,정치,,,
40,사회,4027,한국 근현대사,,,
50,과학,5001,통합과학,,,
50,과학,5002,과학 탐구 실험,,,
50,과학,5003,물리학1,,,
50,과학,5004,화학1,,,
50,과학,5005,생명과학1,,,
50,과학,5006,지구과학1,,,
50,과학,5007,물리학2,,,
50,과학,5008,화학2,,,
50,과학,5009,생명과학2,,,
50,과학,5010,지구과학2,,,
50,과학,5011,과학사,,,
50,과학,5012,생활과 과학,,,
50,과학,5013,융합과학,,,
50,과학,5014,고급 물리학,,,
50,과학,5015,고급 화학,,,
50,과학,5016,고급 생명과학,,,
50,과학,5017,고급 지구과학,,,
50,과학,5018,물리학 실험,,,
50,과학,5019,화학 실험,,,
50,과학,5020,생명과학 실험,,,
50,과학,5021,지구과학 실험,,,
50,과학,5022,정보과학,,,
50,과학,5023,융합과학 탐구,,,
50,과학,5024,과학 과제연구,,,
50,과학,5025,생태와 환경,,,
60,한국사,6001,한국사,,,
70,기술 가정,7001,기술 가정,,,
70,기술 가정,7002,정보,,,
70,기술 가정,7003,농업 생명 과학,,,
70,기술 가정,7004,공학 일반,,,
70,기술 가정,7005,창의 경영,,,
70,기술 가정,7006,해양문화와 기술,,,
70,기술 가정,7007,가정과학,,,
70,기술 가정,7008,지식재산 일반,,,
70,기술 가정,7009,정보사회와 컴퓨터,,,
70,기술 가정,7010,해양과학,,,
70,기술 가정,7011,영상 일반,,,
80,제2외국어,8001,독일어1,,,
80,제2외국어,8002,프랑스어1,,,
80,제2외국어,8003,스페인어1,,,
80,제2외국어,8004,중국어1,,,
80,제2외국어,8005,일본어1,,,
80,제2외국어,8006,러시아어1,,,
80,제2외국어,8007,아랍어1,,,
80,제2외국어,8008,베트남어1,,,
80,제2외국어,8009,독일어2,,,
80,제2외국어,8010,프랑스어2,,,
80,제2외국어,8011,스페인어2,,,
80,제2외국어,8012,중국어2,,,
80,제2외국어,8013,일본어2,,,
80,제2외국어,8014,러시아어2,,,
80,제2외국어,8015,아랍어2,,,
80,제2외국어,8016,베트남어2,,,
90,한문,9001,한문1,,,
90,한문,9002,한문2,,,
91,체육,9101,체육,,,
91,체육,9102,운동과 건강,,,
91,체육,9103,스포츠 생활,,,
91,체육,9104,체육탐구,,,
92,음악 미술,9201,음악,,,
92,음악 미술,9202,미술,,,
92,음악 미술,9203,연극,,,
92,음악 미술,9204,음악 연주,,,
92,음악 미술,9205,음악감상과 비평,,,
92,음악 미술,9206,미술 창작,,,
92,음악 미술,9207,미술감상과 비평,,,
93,교양,9301,철학,,,
93,교양,9302,논리학,,,
93,교양,9303,심리학,,,
93,교양,9304,교육학,,,
93,교양,9305,종교학,,,
93,교양,9306,진로와 직업,,,
93,교양,9307,보건,,,
93,교양,9308,환경,,,
93,교양,9309,실용 경제,,,
93,교양,9310,논술,,,
